Grupo;Selección;Dorsal;Posición;Nombre;Equipo;Liga;Nacimiento
A;Alemania;12;PT;Oliver Baumann;TSG 1899 Hoffenheim;Bundesliga;02/06/1990
A;Alemania;1;PT;Manuel Neuer;Bayern Múnich;Bundesliga;27/03/1986
A;Alemania;22;PT;Marc-André Ter Stegen;Barcelona;La Liga;30/04/1992
A;Alemania;16;DF;Waldemar Anton;Stuttgart;Bundesliga;20/07/1996
A;Alemania;20;DF;Benjamin Henrichs;RB Leipzig;Bundesliga;23/02/1997
A;Alemania;6;DF;Joshua Kimmich;Bayern Múnich;Bundesliga;08/02/1995
A;Alemania;24;DF;Robin Koch;Eintracht Frankfurt;Bundesliga;17/07/1996
A;Alemania;18;DF;Maximilian Mittelstädt;Stuttgart;Bundesliga;18/03/1997
A;Alemania;3;DF;David Raum;RB Leipzig;Bundesliga;22/04/1998
A;Alemania;2;DF;Antonio Rüdiger;Real Madrid;La Liga;03/03/1993
A;Alemania;15;DF;Nico Schlotterbeck;Borussia Dortmund;Bundesliga;01/12/1999
A;Alemania;4;DF;Jonathan Tah;Bayer Leverkusen;Bundesliga;11/02/1996
A;Alemania;23;MC;Robert Andrich;Bayer Leverkusen;Bundesliga;22/09/1994
A;Alemania;11;MC;Chris Führich;Stuttgart;Bundesliga;09/01/1998
A;Alemania;5;MC;Pascal Groß;Brighton & Hove Albion;Premier League;15/06/1991
A;Alemania;21;MC;Ilkay Gündogan;Barcelona;La Liga;24/10/1990
A;Alemania;8;MC;Toni Kroos;Real Madrid;La Liga;04/01/1990
A;Alemania;10;MC;Jamal Musiala;Bayern Múnich;Bundesliga;26/02/2003
A;Alemania;25;MC;Aleksandar Pavlovic;Bayern Múnich;Bundesliga;15/07/2003
A;Alemania;19;MC;Leroy Sané;Bayern Múnich;Bundesliga;11/01/1996
A;Alemania;17;MC;Florian Wirtz;Bayer Leverkusen;Bundesliga;03/05/2003
A;Alemania;14;DL;Maximilian Beier;TSG 1899 Hoffenheim;Bundesliga;17/10/2002
A;Alemania;9;DL;Niclas Füllkrug;Borussia Dortmund;Bundesliga;09/02/1993
A;Alemania;7;DL;Kai Havertz;Arsenal;Premier League;11/06/1999
A;Alemania;13;DL;Thomas Müller;Bayern Múnich;Bundesliga;13/09/1989
A;Alemania;26;DL;Deniz Undav;Stuttgart;Bundesliga;19/07/1996
A;Alemania;-;DT;Julian Nagelsmann;Alemania;-;23/07/1987
A;Escocia;21;PT;Zander Clark;Heart of Midlothian;Scottish Premiership;26/06/1992
A;Escocia;1;PT;Angus Gunn;Norwich City;Championship;22/01/1996
A;Escocia;12;PT;Liam Kelly;Motherwell;Scottish Premiership;23/01/1996
A;Escocia;16;DF;Liam Cooper;Leeds United;Championship;30/08/1991
A;Escocia;5;DF;Grant Hanley;Norwich City;Championship;20/11/1991
A;Escocia;13;DF;Jack Hendry;Al-Ettifaq;Saudi Pro League;07/05/1995
A;Escocia;26;DF;Scott McKenna;FC København;Superligaen;12/11/1996
A;Escocia;22;DF;Ross McCrorie;Bristol City;Championship;18/03/1998
A;Escocia;15;DF;Ryan Porteous;Watford;Championship;25/03/1999
A;Escocia;2;DF;Anthony Ralston;Celtic;Scottish Premiership;16/11/1998
A;Escocia;3;DF;Andrew Robertson;Liverpool;Premier League;11/03/1994
A;Escocia;24;DF;Greg Taylor;Celtic;Scottish Premiership;05/11/1997
A;Escocia;6;DF;Kieran Tierney;Real Sociedad;La Liga;05/06/1997
A;Escocia;17;MC;Stuart Armstrong;Southampton;Championship;30/03/1992
A;Escocia;25;MC;James Forrest;Celtic;Scottish Premiership;07/07/1991
A;Escocia;14;MC;Billy Gilmour;Brighton & Hove Albion;Premier League;11/06/2001
A;Escocia;20;MC;Ryan Jack;Rangers;Scottish Premiership;27/02/1992
A;Escocia;7;MC;John McGinn;Aston Villa;Premier League;18/10/1994
