Part.;Fase;Local;GL;GV;Visitante;GPrL;GPrV;WPn;DS;Fecha;Hora
81;OCTAVOS;2A;;;2B;;;;S;29/06/2024;18:00
82;OCTAVOS;1A;;;2C;;;;S;29/06/2024;21:00
83;OCTAVOS;1C;;;3D/E/F;;;;D;30/06/2024;18:00
84;OCTAVOS;1B;;;3A/D/E/F;;;;D;30/06/2024;21:00
85;OCTAVOS;2D;;;2E;;;;L;01/07/2024;18:00
86;OCTAVOS;1F;;;3A/B/C;;;;L;01/07/2024;21:00
87;OCTAVOS;1E;;;3A/B/C/D;;;;M;02/07/2024;18:00
88;OCTAVOS;1D;;;2F;;;;M;02/07/2024;21:00
41;CUARTOS;G84;;;G82;;;;V;05/07/2024;18:00
42;CUARTOS;G86;;;G85;;;;V;05/07/2024;21:00
43;CUARTOS;G83;;;G81;;;;S;06/07/2024;18:00
44;CUARTOS;G87;;;G88;;;;S;06/07/2024;21:00
21;SEMIFINAL;G41;;;G42;;;;M;09/07/2024;21:00
22;SEMIFINAL;G44;;;G43;;;;X;10/07/2024;21:00
11;FINAL;G21;;;G22;;;;D;14/07/2024;21:00
